"pba-14v-2"
"Wavelength nm.","Abs."
330.40,0.030
330.60,0.031
330.80,0.031
331.00,0.031
331.20,0.031
331.40,0.031
331.60,0.031
331.80,0.031
332.00,0.031
332.20,0.031
332.40,0.031
332.60,0.031
332.80,0.032
333.00,0.032
333.20,0.031
333.40,0.032
333.60,0.032
333.80,0.031
334.00,0.032
334.20,0.032
334.40,0.031
334.60,0.031
334.80,0.031
335.00,0.031
335.20,0.031
335.40,0.031
335.60,0.031
335.80,0.031
336.00,0.031
336.20,0.032
336.40,0.032
336.60,0.032
336.80,0.032
337.00,0.032
337.20,0.032
337.40,0.032
337.60,0.032
337.80,0.032
338.00,0.032
338.20,0.032
338.40,0.032
338.60,0.032
338.80,0.032
339.00,0.032
339.20,0.032
339.40,0.032
339.60,0.032
339.80,0.032
340.00,0.032
340.20,0.032
340.40,0.033
340.60,0.033
340.80,0.033
341.00,0.033
341.20,0.033
341.40,0.033
341.60,0.033
341.80,0.033
342.00,0.033
342.20,0.033
342.40,0.033
342.60,0.033
342.80,0.033
343.00,0.034
343.20,0.034
343.40,0.033
343.60,0.034
343.80,0.034
344.00,0.034
344.20,0.034
344.40,0.034
344.60,0.034
344.80,0.034
345.00,0.035
345.20,0.035
345.40,0.034
345.60,0.035
345.80,0.035
346.00,0.035
346.20,0.035
346.40,0.035
346.60,0.036
346.80,0.036
347.00,0.036
347.20,0.036
347.40,0.036
347.60,0.036
347.80,0.036
348.00,0.036
348.20,0.036
348.40,0.035
348.60,0.035
348.80,0.035
349.00,0.036
349.20,0.036
349.40,0.036
349.60,0.036
349.80,0.036
350.00,0.036
350.20,0.036
350.40,0.036
350.60,0.036
350.80,0.036
351.00,0.036
351.20,0.036
351.40,0.036
351.60,0.037
351.80,0.037
352.00,0.037
352.20,0.037
352.40,0.037
352.60,0.037
352.80,0.037
353.00,0.038
353.20,0.038
353.40,0.038
353.60,0.038
353.80,0.038
354.00,0.038
354.20,0.037
354.40,0.037
354.60,0.037
354.80,0.037
355.00,0.038
355.20,0.038
355.40,0.038
355.60,0.038
355.80,0.038
356.00,0.038
356.20,0.038
356.40,0.038
356.60,0.038
356.80,0.038
357.00,0.038
357.20,0.038
357.40,0.039
357.60,0.039
357.80,0.039
358.00,0.039
358.20,0.039
358.40,0.039
358.60,0.039
358.80,0.039
359.00,0.039
359.20,0.039
359.40,0.039
359.60,0.039
359.80,0.039
360.00,0.039
360.20,0.039
360.40,0.040
360.60,0.040
360.80,0.040
361.00,0.040
361.20,0.040
361.40,0.040
361.60,0.040
361.80,0.040
362.00,0.040
362.20,0.040
362.40,0.040
362.60,0.040
362.80,0.041
363.00,0.041
363.20,0.041
363.40,0.041
363.60,0.041
363.80,0.041
364.00,0.041
364.20,0.041
364.40,0.041
364.60,0.041
364.80,0.041
365.00,0.041
365.20,0.042
365.40,0.042
365.60,0.042
365.80,0.042
366.00,0.042
366.20,0.042
366.40,0.042
366.60,0.042
366.80,0.042
367.00,0.042
367.20,0.042
367.40,0.043
367.60,0.043
367.80,0.043
368.00,0.043
368.20,0.043
368.40,0.044
368.60,0.043
368.80,0.043
369.00,0.044
369.20,0.044
369.40,0.044
369.60,0.045
369.80,0.044
370.00,0.044
370.20,0.044
370.40,0.045
370.60,0.045
370.80,0.045
371.00,0.045
371.20,0.045
371.40,0.045
371.60,0.045
371.80,0.045
372.00,0.046
372.20,0.045
372.40,0.046
372.60,0.046
372.80,0.046
373.00,0.045
373.20,0.046
373.40,0.046
373.60,0.046
373.80,0.046
374.00,0.046
374.20,0.046
374.40,0.046
374.60,0.047
374.80,0.047
375.00,0.047
375.20,0.047
375.40,0.047
375.60,0.048
375.80,0.047
376.00,0.047
376.20,0.048
376.40,0.048
376.60,0.048
376.80,0.048
377.00,0.048
377.20,0.048
377.40,0.048
377.60,0.048
377.80,0.049
378.00,0.049
378.20,0.049
378.40,0.049
378.60,0.049
378.80,0.049
379.00,0.049
379.20,0.049
379.40,0.050
379.60,0.050
379.80,0.050
380.00,0.050
380.20,0.050
380.40,0.050
380.60,0.050
380.80,0.050
381.00,0.050
381.20,0.050
381.40,0.050
381.60,0.050
381.80,0.051
382.00,0.051
382.20,0.051
382.40,0.051
382.60,0.051
382.80,0.051
383.00,0.052
383.20,0.052
383.40,0.052
383.60,0.052
383.80,0.052
384.00,0.052
384.20,0.052
