"pba-12v"
"Wavelength nm.","Abs."
406.60,0.064
406.80,0.064
407.00,0.065
407.20,0.065
407.40,0.065
407.60,0.065
407.80,0.065
408.00,0.065
408.20,0.065
408.40,0.065
408.60,0.066
408.80,0.066
409.00,0.066
409.20,0.066
409.40,0.066
409.60,0.066
409.80,0.066
410.00,0.066
410.20,0.066
410.40,0.066
410.60,0.066
410.80,0.066
411.00,0.067
411.20,0.066
411.40,0.067
411.60,0.067
411.80,0.067
412.00,0.067
412.20,0.067
412.40,0.067
412.60,0.067
412.80,0.067
413.00,0.067
413.20,0.067
413.40,0.067
413.60,0.067
413.80,0.067
414.00,0.068
414.20,0.068
414.40,0.068
414.60,0.068
414.80,0.068
415.00,0.068
415.20,0.068
415.40,0.068
415.60,0.069
415.80,0.069
416.00,0.069
416.20,0.069
416.40,0.069
416.60,0.069
416.80,0.070
417.00,0.070
417.20,0.070
417.40,0.070
417.60,0.070
417.80,0.071
418.00,0.071
418.20,0.071
418.40,0.071
418.60,0.072
418.80,0.072
419.00,0.072
419.20,0.072
419.40,0.073
419.60,0.073
419.80,0.073
420.00,0.073
420.20,0.073
420.40,0.074
420.60,0.074
420.80,0.074
421.00,0.074
421.20,0.074
421.40,0.075
421.60,0.075
421.80,0.075
422.00,0.075
422.20,0.076
422.40,0.076
422.60,0.076
422.80,0.076
423.00,0.076
423.20,0.077
423.40,0.077
423.60,0.077
423.80,0.078
424.00,0.078
424.20,0.078
424.40,0.078
424.60,0.079
424.80,0.079
425.00,0.079
425.20,0.079
425.40,0.080
425.60,0.080
425.80,0.080
426.00,0.080
426.20,0.081
426.40,0.081
426.60,0.081
426.80,0.081
427.00,0.082
427.20,0.082
427.40,0.082
427.60,0.083
427.80,0.083
428.00,0.083
428.20,0.084
428.40,0.084
428.60,0.084
428.80,0.085
429.00,0.085
429.20,0.085
429.40,0.085
429.60,0.086
429.80,0.086
430.00,0.086
430.20,0.087
430.40,0.087
430.60,0.087
430.80,0.087
431.00,0.088
431.20,0.088
431.40,0.088
431.60,0.089
431.80,0.089
432.00,0.089
432.20,0.090
432.40,0.090
432.60,0.090
432.80,0.090
433.00,0.091
433.20,0.091
433.40,0.091
433.60,0.092
433.80,0.092
